budget_fraction,budget_available,budget_used,conveyors_selected,indicator_initial,indicator_final,absolute_reduction,percentage_reduction
0.1,6625.0,6100,3,19715.8119,18152.9531,1562.8588,7.93
0.2,13250.0,12500,6,19715.8119,16794.0955,2921.7164,14.82
0.3,19875.0,19800,10,19715.8119,15618.8854,4096.9265,20.78
0.4,26500.0,26400,13,19715.8119,14843.6841,4872.1278,24.71
0.5,33125.0,33000,16,19715.8119,14189.5279,5526.284,28.03
0.6,39750.0,39000,19,19715.8119,13700.3735,6015.4384,30.51
0.7,46375.0,46200,23,19715.8119,13343.5973,6372.2145,32.32
0.8,53000.0,52900,26,19715.8119,13164.0852,6551.7266,33.23
0.9,59625.0,58500,27,19715.8119,13036.0323,6679.7796,33.88
1.0,66250.0,66250,30,19715.8119,12953.8906,6761.9213,34.3
